Date : 2024-03-02 10:52:56
Directory : d:\Project\AdminPanel\admin-pannel
Total : 146 files,  21391 codes, 157 comments, 395 blanks, all 21943 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\pages\adminPanel\card\keys                                                                                                                                         |          1 |         81 |          0 |          4 |         85 |
| src\pages\adminPanel\financial                                                                                                                                         |          3 |        304 |          0 |          8 |        312 |
| src\pages\adminPanel\financial\accumulativeFinancialReports                                                                                                            |          1 |        140 |          0 |          3 |        143 |
| src\pages\adminPanel\financial\financialReports                                                                                                                        |          1 |        132 |          0 |          3 |        135 |
| src\pages\adminPanel\financial\increaseCustomerCredit                                                                                                                  |          1 |         32 |          0 |          2 |         34 |
| src\pages\adminPanel\loginReports                                                                                                                                      |          1 |         98 |          0 |          3 |        101 |
| src\pages\adminPanel\serviceManagement                                                                                                                                 |          8 |      1,055 |          0 |         30 |      1,085 |
| src\pages\adminPanel\serviceManagement (Files)                                                                                                                         |          1 |         76 |          0 |          4 |         80 |
| src\pages\adminPanel\serviceManagement\addService                                                                                                                      |          1 |        138 |          0 |          3 |        141 |
| src\pages\adminPanel\serviceManagement\addServiceGroup                                                                                                                 |          1 |        133 |          0 |          3 |        136 |
| src\pages\adminPanel\serviceManagement\serviceGroupDetails                                                                                                             |          3 |        354 |          0 |         13 |        367 |
| src\pages\adminPanel\serviceManagement\serviceGroupDetails\[serviceGroupId]                                                                                            |          3 |        354 |          0 |         13 |        367 |
| src\pages\adminPanel\serviceManagement\serviceGroupDetails\[serviceGroupId] (Files)                                                                                    |          1 |        126 |          0 |          4 |        130 |
| src\pages\adminPanel\serviceManagement\serviceGroupDetails\[serviceGroupId]\beneficiaries                                                                              |          2 |        228 |          0 |          9 |        237 |
| src\pages\adminPanel\serviceManagement\serviceGroupDetails\[serviceGroupId]\beneficiaries\[beneficiariesId]                                                            |          2 |        228 |          0 |          9 |        237 |
| src\pages\adminPanel\serviceManagement\serviceGroupDetails\[serviceGroupId]\beneficiaries\[beneficiariesId] (Files)                                                    |          1 |        113 |          0 |          5 |        118 |
| src\pages\adminPanel\serviceManagement\serviceGroupDetails\[serviceGroupId]\beneficiaries\[beneficiariesId]\addNewDiscount                                             |          1 |        115 |          0 |          4 |        119 |
| src\pages\adminPanel\serviceManagement\updateService                                                                                                                   |          1 |        180 |          0 |          4 |        184 |
| src\pages\adminPanel\serviceManagement\updateServiceGroup                                                                                                              |          1 |        174 |          0 |          3 |        177 |
| src\pages\adminPanel\serviceManagement\updateServiceGroup\[serviceGroupUpdateId]                                                                                       |          1 |        174 |          0 |          3 |        177 |
| src\pages\adminPanel\serviceManagement\updateService\[serviceUpdateId]                                                                                                 |          1 |        180 |          0 |          4 |        184 |
| src\pages\adminPanel\tickets                                                                                                                                           |          2 |        609 |          5 |         11 |        625 |
| src\pages\adminPanel\tickets (Files)                                                                                                                                   |          1 |         72 |          1 |          3 |         76 |
| src\pages\adminPanel\tickets\ticketDetails                                                                                                                             |          1 |        537 |          4 |          8 |        549 |
| src\pages\adminPanel\tickets\ticketDetails\[ticketId]                                                                                                                  |          1 |        537 |          4 |          8 |        549 |
| src\pages\adminPanel\userManagement                                                                                                                                    |          6 |        539 |          0 |         20 |        559 |
| src\pages\adminPanel\userManagement\newRequests                                                                                                                        |          2 |        140 |          0 |          9 |        149 |
| src\pages\adminPanel\userManagement\newRequests (Files)                                                                                                                |          1 |         38 |          0 |          4 |         42 |
| src\pages\adminPanel\userManagement\newRequests\newRequestDetails                                                                                                      |          1 |        102 |          0 |          5 |        107 |
| src\pages\adminPanel\userManagement\newRequests\newRequestDetails\[newRequestDetailId]                                                                                 |          1 |        102 |          0 |          5 |        107 |
| src\pages\adminPanel\userManagement\showUsers                                                                                                                          |          4 |        399 |          0 |         11 |        410 |
| src\pages\adminPanel\userManagement\showUsers (Files)                                                                                                                  |          1 |         94 |          0 |          2 |         96 |
| src\pages\adminPanel\userManagement\showUsers\userInfoDetails                                                                                                          |          1 |         67 |          0 |          3 |         70 |
| src\pages\adminPanel\userManagement\showUsers\userInfoDetails\[userInfoDetailsId]                                                                                      |          1 |         67 |          0 |          3 |         70 |
| src\pages\adminPanel\userManagement\showUsers\userServices                                                                                                             |          2 |        238 |          0 |          6 |        244 |
| src\pages\adminPanel\userManagement\showUsers\userServices\[userServiceId]                                                                                             |          2 |        238 |          0 |          6 |        244 |
| src\pages\adminPanel\userManagement\showUsers\userServices\[userServiceId] (Files)                                                                                     |          1 |         83 |          0 |          3 |         86 |
| src\pages\adminPanel\userManagement\showUsers\userServices\[userServiceId]\updateUserService                                                                           |          1 |        155 |          0 |          3 |        158 |
| src\pages\adminPanel\userManagement\showUsers\userServices\[userServiceId]\updateUserService\[updateService]                                                           |          1 |        155 |          0 |          3 |        158 |
| src\pages\api                                                                                                                                                          |          1 |          3 |          1 |          2 |          6 |
| src\server                                                                                                                                                             |          1 |        582 |         68 |         13 |        663 |
| styles                                                                                                                                                                 |          1 |        152 |         19 |         16 |        187 |
| utils                                                                                                                                                                  |          1 |          5 |          0 |          1 |          6 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                               | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\Project\AdminPanel\admin-pannel\.eslintrc.json                                                                                                                      | JSON               |          3 |          0 |          1 |          4 |
| d:\Project\AdminPanel\admin-pannel\README.md                                                                                                                           | Markdown           |         23 |          0 |         16 |         39 |
| d:\Project\AdminPanel\admin-pannel\jsconfig.json                                                                                                                       | JSON with Comments |          8 |          0 |          1 |          9 |
| d:\Project\AdminPanel\admin-pannel\next.config.js                                                                                                                      | JavaScript         |          4 |          1 |          2 |          7 |
| d:\Project\AdminPanel\admin-pannel\package-lock.json                                                                                                                   | JSON               |      6,305 |          0 |          1 |      6,306 |
| d:\Project\AdminPanel\admin-pannel\package.json                                                                                                                        | JSON               |         47 |          0 |          1 |         48 |
| d:\Project\AdminPanel\admin-pannel\postcss.config.js                                                                                                                   | JavaScript         |          6 |          0 |          1 |          7 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\0.svg                                                                                                          | XML                |          3 |          0 |          1 |          4 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\4.svg                                                                                                          | XML                |          3 |          0 |          1 |          4 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\Exit.svg                                                                                                       | XML                |          3 |          0 |          1 |          4 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\NewSignIn.svg                                                                                                  | XML                |        612 |          0 |          1 |        613 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\blackSignOut.svg                                                                                               | XML                |          3 |          0 |          1 |          4 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\blueExit.svg                                                                                                   | XML                |          3 |          0 |          1 |          4 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\breadCrumbsDirection.svg                                                                                       | XML                |          3 |          0 |          1 |          4 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\calendar.svg                                                                                                   | XML                |          4 |          0 |          1 |          5 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\callServices.svg                                                                                               | XML                |          3 |          0 |          1 |          4 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\changePass.svg                                                                                                 | XML                |          3 |          0 |          1 |          4 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\down.svg                                                                                                       | XML                |          3 |          0 |          1 |          4 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\edit.svg                                                                                                       | XML                |          4 |          0 |          1 |          5 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\financialReports.svg                                                                                           | XML                |          7 |          0 |          1 |          8 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\grayUploadFile.svg                                                                                             | XML                |          4 |          0 |          1 |          5 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\loginReports.svg                                                                                               | XML                |          4 |          0 |          1 |          5 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\magnifier.svg                                                                                                  | XML                |         11 |          0 |          1 |         12 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\multiple.svg                                                                                                   | XML                |          3 |          0 |          1 |          4 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\noTickets.svg                                                                                                  | XML                |         39 |          0 |          1 |         40 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\operationDots.svg                                                                                              | XML                |          5 |          0 |          1 |          6 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\operationDotsTablet.svg                                                                                        | XML                |          5 |          0 |          1 |          6 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\personalInfo.svg                                                                                               | XML                |          5 |          0 |          1 |          6 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\plus.svg                                                                                                       | XML                |          4 |          0 |          1 |          5 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\ramzNegarCompleteLogo.svg                                                                                      | XML                |         50 |          0 |          1 |         51 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\ramzNegarLogo.svg                                                                                              | XML                |         22 |          0 |          1 |         23 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\search.svg                                                                                                     | XML                |          3 |          0 |          1 |          4 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\sendTicket.svg                                                                                                 | XML                |          3 |          0 |          1 |          4 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\servicesManagement.svg                                                                                         | XML                |          9 |          0 |          1 |         10 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\servicesSubOperation.svg                                                                                       | XML                |          5 |          0 |          1 |          6 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\tickets.svg                                                                                                    | XML                |          4 |          0 |          1 |          5 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\upload.svg                                                                                                     | XML                |          3 |          0 |          1 |          4 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\uploadFile.svg                                                                                                 | XML                |          4 |          0 |          1 |          5 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\userManagement.svg                                                                                             | XML                |          8 |          0 |          1 |          9 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\whiteEdit.svg                                                                                                  | XML                |          3 |          0 |          1 |          4 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\whiteSendTicket.svg                                                                                            | XML                |          3 |          0 |          1 |          4 |
| d:\Project\AdminPanel\admin-pannel\public\assets\images\yellowEdit.svg                                                                                                 | XML                |          3 |          0 |          1 |          4 |
| d:\Project\AdminPanel\admin-pannel\server.js                                                                                                                           | JavaScript         |         15 |          0 |          3 |         18 |
| d:\Project\AdminPanel\admin-pannel\src\common\Input.js                                                                                                                 | JavaScript         |         40 |          0 |          2 |         42 |
| d:\Project\AdminPanel\admin-pannel\src\common\SearchForm.js                                                                                                            | JavaScript         |         34 |          0 |          2 |         36 |
| d:\Project\AdminPanel\admin-pannel\src\components\Accordion\Accordion.js                                                                                               | JavaScript         |        135 |          0 |          2 |        137 |
| d:\Project\AdminPanel\admin-pannel\src\components\ResetPasswordForm\ResetPasswordForm.js                                                                               | JavaScript         |        175 |          0 |          3 |        178 |
| d:\Project\AdminPanel\admin-pannel\src\components\adminUser\ChangePassword\DesktopChangePassword.js                                                                    | JavaScript         |        192 |          0 |          7 |        199 |
| d:\Project\AdminPanel\admin-pannel\src\components\adminUser\ChangePassword\MobileChangePassword.js                                                                     | JavaScript         |        131 |          0 |          3 |        134 |
| d:\Project\AdminPanel\admin-pannel\src\components\adminUser\ChangePassword\TabletChangePassword.js                                                                     | JavaScript         |        132 |          0 |          2 |        134 |
| d:\Project\AdminPanel\admin-pannel\src\components\adminUser\adminUserInfoDetails\MobileAdminUserInfoDetailsForm.js                                                     | JavaScript         |        118 |          0 |          2 |        120 |
| d:\Project\AdminPanel\admin-pannel\src\components\adminUser\signOut\DesktopSignout.js                                                                                  | JavaScript         |         65 |          0 |          2 |         67 |
| d:\Project\AdminPanel\admin-pannel\src\components\callServices\CallServicesReportsTable.js                                                                             | JavaScript         |        132 |          4 |          5 |        141 |
| d:\Project\AdminPanel\admin-pannel\src\components\callServices\DesktopCallServicesForm.js                                                                              | JavaScript         |        152 |          4 |          2 |        158 |
| d:\Project\AdminPanel\admin-pannel\src\components\callServices\MobileCallServiceReportsForm.js                                                                         | JavaScript         |        160 |          4 |          2 |        166 |
| d:\Project\AdminPanel\admin-pannel\src\components\callServices\TabletCallServicesReportsForm.js                                                                        | JavaScript         |        168 |          4 |          2 |        174 |
| d:\Project\AdminPanel\admin-pannel\src\components\card\keys\DesktopKeysTable.js                                                                                        | JavaScript         |        108 |          0 |          2 |        110 |
| d:\Project\AdminPanel\admin-pannel\src\components\card\keys\MobileKeysTable.js                                                                                         | JavaScript         |        115 |          0 |          2 |        117 |
| d:\Project\AdminPanel\admin-pannel\src\components\card\keys\TabletKeysTable.js                                                                                         | JavaScript         |        113 |          0 |          2 |        115 |
| d:\Project\AdminPanel\admin-pannel\src\components\financial\accumulativeFinancialReports\AccumulativeFinantialReportsTable.js                                          | JavaScript         |        280 |         19 |         21 |        320 |
| d:\Project\AdminPanel\admin-pannel\src\components\financial\financialReports\DesktopFinancialReportsForm.js                                                            | JavaScript         |        131 |          0 |          2 |        133 |
| d:\Project\AdminPanel\admin-pannel\src\components\financial\financialReports\FinantialReportsTable.js                                                                  | JavaScript         |        140 |          4 |          6 |        150 |
| d:\Project\AdminPanel\admin-pannel\src\components\financial\financialReports\MobileFinancialReportsForm.js                                                             | JavaScript         |        140 |          0 |          2 |        142 |
| d:\Project\AdminPanel\admin-pannel\src\components\financial\financialReports\TabletFinancialReportsForm.js                                                             | JavaScript         |        147 |          0 |          2 |        149 |
| d:\Project\AdminPanel\admin-pannel\src\components\financial\increaseCustomerCredit\IncreaseCustomerCreditModal.js                                                      | JavaScript         |        111 |          0 |          3 |        114 |
| d:\Project\AdminPanel\admin-pannel\src\components\financial\increaseCustomerCredit\MobileIncreaseCustomerCreditForm.js                                                 | JavaScript         |        129 |          0 |          3 |        132 |
| d:\Project\AdminPanel\admin-pannel\src\components\financial\increaseCustomerCredit\TabletIncreaseCustomerCreditForm.js                                                 | JavaScript         |        131 |          0 |          3 |        134 |
| d:\Project\AdminPanel\admin-pannel\src\components\loginReports\LoginReportsTable.js                                                                                    | JavaScript         |         80 |          0 |          2 |         82 |
| d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\DesktopTableServicesManagement.js                                                                 | JavaScript         |        111 |          0 |          2 |        113 |
| d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\MobileTableServicesManagement.js                                                                  | JavaScript         |        177 |          0 |          2 |        179 |
| d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\TabletTableServicesManagement.js                                                                  | JavaScript         |        177 |          0 |          2 |        179 |
| d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\addServiceGroup\AddServiceGroupMobileForm.js                                                      | JavaScript         |        181 |          0 |          3 |        184 |
| d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\addServiceGroup\AddServiceGroupTabletForm.js                                                      | JavaScript         |        193 |          0 |          3 |        196 |
| d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\addService\AddServiceMobileForm.js                                                                | JavaScript         |        178 |          0 |          3 |        181 |
| d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\addService\AddServiceTabletForm.js                                                                | JavaScript         |        183 |          0 |          3 |        186 |
| d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\beneficiaries\DesktopBeneficiariesTable.js                                                        | JavaScript         |        105 |          0 |          3 |        108 |
| d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\beneficiaries\MobileBeneficiariesTable.js                                                         | JavaScript         |        165 |          0 |          3 |        168 |
| d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\beneficiaries\TabletBeneficiariesTable.js                                                         | JavaScript         |        163 |          0 |          2 |        165 |
| d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\beneficiaries\addNewBeneficiaries\AddNewDiscountForm.js                                           | JavaScript         |        119 |          0 |          3 |        122 |
| d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\editServiceGroup\EditServiceGroupMobileForm.js                                                    | JavaScript         |        197 |          0 |          3 |        200 |
| d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\editServiceGroup\EditServiceGroupTabletForm.js                                                    | JavaScript         |        209 |          0 |          3 |        212 |
| d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\editService\EditServiceMobileForm.js                                                              | JavaScript         |        271 |          0 |          4 |        275 |
| d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\editService\EditServiceTabletForm.js                                                              | JavaScript         |        275 |          0 |          3 |        278 |
| d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\serviceGroupDetails\DesktopServiceGroupDetailsTable.js                                            | JavaScript         |        155 |          0 |          2 |        157 |
| d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\serviceGroupDetails\FileUploadModal\FileUploadModal.js                                            | JavaScript         |        147 |          0 |          3 |        150 |
| d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\serviceGroupDetails\MobileServiceGroupDetailsTable.js                                             | JavaScript         |        227 |          0 |          2 |        229 |
| d:\Project\AdminPanel\admin-pannel\src\components\servicesManagement\serviceGroupDetails\TabletServiceGroupDetailsTable.js                                             | JavaScript         |        225 |          0 |          3 |        228 |
| d:\Project\AdminPanel\admin-pannel\src\components\signInForm\SignInForm.js                                                                                             | JavaScript         |        261 |          0 |          5 |        266 |
| d:\Project\AdminPanel\admin-pannel\src\components\tickets\TicketsTable.js                                                                                              | JavaScript         |        206 |          1 |          2 |        209 |
| d:\Project\AdminPanel\admin-pannel\src\components\userManagement\NewRequests\DesktopNewRequestTable.js                                                                 | JavaScript         |        114 |          0 |          2 |        116 |
| d:\Project\AdminPanel\admin-pannel\src\components\userManagement\NewRequests\MobileNewRequestTable.js                                                                  | JavaScript         |        119 |          0 |          2 |        121 |
| d:\Project\AdminPanel\admin-pannel\src\components\userManagement\NewRequests\TabletNewRequestTable.js                                                                  | JavaScript         |        119 |          0 |          2 |        121 |
| d:\Project\AdminPanel\admin-pannel\src\components\userManagement\NewRequests\newRequestDetails\MobileNewRequestDetailsForm.js                                          | JavaScript         |        149 |          0 |          3 |        152 |
| d:\Project\AdminPanel\admin-pannel\src\components\userManagement\NewRequests\newRequestDetails\TabletNewRequestDetailsForm.js                                          | JavaScript         |        181 |          0 |          3 |        184 |
| d:\Project\AdminPanel\admin-pannel\src\components\userManagement\NewRequests\newRequestDetails\checkNewRequest\AcceptNewRequestModal.js                                | JavaScript         |        100 |          0 |          3 |        103 |
| d:\Project\AdminPanel\admin-pannel\src\components\userManagement\NewRequests\newRequestDetails\checkNewRequest\RejectNewRequestModal.js                                | JavaScript         |        124 |          0 |          2 |        126 |
| d:\Project\AdminPanel\admin-pannel\src\components\userManagement\ShowUser\ShowUser\ShowUser.js                                                                         | JavaScript         |         13 |          0 |          2 |         15 |
| d:\Project\AdminPanel\admin-pannel\src\components\userManagement\ShowUser\ShowUser\ShowUserDesktopTable.js                                                             | JavaScript         |        111 |          0 |          2 |        113 |
| d:\Project\AdminPanel\admin-pannel\src\components\userManagement\ShowUser\ShowUser\ShowUserMobileTable.js                                                              | JavaScript         |        170 |          0 |          2 |        172 |
| d:\Project\AdminPanel\admin-pannel\src\components\userManagement\ShowUser\ShowUser\ShowUserTabletTable.js                                                              | JavaScript         |        170 |          0 |          2 |        172 |
| d:\Project\AdminPanel\admin-pannel\src\components\userManagement\ShowUser\userInfoDetail\MobileUserInfoDetailsForm.js                                                  | JavaScript         |        130 |          8 |          3 |        141 |
| d:\Project\AdminPanel\admin-pannel\src\components\userManagement\ShowUser\userInfoDetail\TabletUserInfoDetailsForm.js                                                  | JavaScript         |        151 |          8 |          2 |        161 |
| d:\Project\AdminPanel\admin-pannel\src\components\userManagement\ShowUser\userServices\DesktopUserServicesTable.js                                                     | JavaScript         |        129 |          0 |          2 |        131 |
| d:\Project\AdminPanel\admin-pannel\src\components\userManagement\ShowUser\userServices\MobileUserServiceTable.js                                                       | JavaScript         |        136 |          0 |          2 |        138 |
| d:\Project\AdminPanel\admin-pannel\src\components\userManagement\ShowUser\userServices\TabletUserServiceTable.js                                                       | JavaScript         |        136 |          0 |          2 |        138 |
| d:\Project\AdminPanel\admin-pannel\src\components\userManagement\ShowUser\userServices\updateUserService\MobileUpdateUserService.js                                    | JavaScript         |        129 |          0 |          3 |        132 |
| d:\Project\AdminPanel\admin-pannel\src\components\userManagement\ShowUser\userServices\updateUserService\TabletUpdateUserService.js                                    | JavaScript         |        139 |          0 |          2 |        141 |
| d:\Project\AdminPanel\admin-pannel\src\container\layout\DesktopLayout\DesktopHeader.js                                                                                 | JavaScript         |         23 |          0 |          3 |         26 |
